date,open,close,volume,yield,beta,p_e,roe,roa
2024-08-09,2610.0,2603.5,638234,-0.016247874551294172,,244.8,2.8  %,0.1  %
2024-08-16,2603.5,2458.0,541042,-0.055886306894564974,,244.8,2.8  %,0.1  %
2024-08-23,2469.0,2197.5,1313927,-0.1059804719283971,,244.8,2.8  %,0.1  %
2024-08-30,2270.0,1926.5,1997895,-0.12332195676905577,,244.8,2.8  %,0.1  %
2024-09-06,1897.0,1958.0,3413031,0.01635089540617707,,244.8,2.8  %,0.1  %
2024-09-13,1972.0,1866.0,3556623,-0.04698672114402447,,244.8,2.8  %,0.1  %
2024-09-20,1890.0,1826.0,3312348,-0.02143622722400862,,244.8,2.8  %,0.1  %
2024-09-27,1840.0,1955.0,3751324,0.07064622124863096,,244.8,2.8  %,0.1  %
2024-10-04,1968.0,1876.5,2307264,-0.04015345268542203,,244.8,2.8  %,0.1  %
2024-10-11,1871.0,1831.0,1294784,-0.024247268851585346,,244.8,2.8  %,0.1  %
2024-10-18,1833.5,1848.0,1346097,0.00928454396504641,,244.8,2.8  %,0.1  %
2024-10-25,1858.0,1592.5,4303701,-0.1382575757575758,,244.8,2.8  %,0.1  %
2024-11-01,1560.5,1381.5,13826833,-0.13249607535321817,,244.8,2.8  %,0.1  %
2024-11-08,1389.0,1325.0,19381399,-0.040897575099529515,,244.8,2.8  %,0.1  %
2024-11-15,1331.0,1365.0,16105861,0.030188679245283012,,244.8,2.8  %,0.1  %
2024-11-22,1345.0,1276.0,9034943,-0.06520146520146519,,244.8,2.8  %,0.1  %
2024-11-29,1264.5,1017.0,45722762,-0.20297805642633227,,244.8,2.8  %,0.1  %
2024-12-06,1020.0,929.0,22648282,-0.08652900688298915,,244.8,2.8  %,0.1  %
2024-12-13,935.0,887.0,18463671,-0.0452099031216362,,244.8,2.8  %,0.1  %
2024-12-20,882.0,965.0,18865005,0.08793686583990978,,244.8,2.8  %,0.1  %
2024-12-27,996.5,965.0,28247359,0.0,,244.8,2.8  %,0.1  %
2025-01-03,969.0,1009.5,7953189,0.04611398963730573,,38.3,14.5  %,0.6  %
2025-01-10,997.0,996.0,8240602,-0.013372956909361022,,38.3,14.5  %,0.6  %
2025-01-17,1012.0,1271.0,30021382,0.27610441767068283,,38.3,14.5  %,0.6  %
2025-01-24,1315.0,1343.5,72755758,0.057041699449252636,,38.3,14.5  %,0.6  %
